DepartureStation,ArrivalStation,Capacity,Weekend,Month,Hour,Duration,Passengers
BM,AV,186,0,7,0,4.0,186.0
BA,AB,186,1,2,8,1.17,162.0
AO,AR,180,0,12,12,0.67,110.0
AT,AB,186,1,6,16,1.08,186.0
AT,BS,180,0,6,14,1.17,178.0
AT,AI,186,0,12,10,2.92,186.0
AW,AS,180,0,7,6,0.67,130.0
BM,AV,186,1,3,0,5.0,140.0
AT,BO,186,0,8,6,1.75,174.0
AO,AR,186,0,2,10,0.67,186.0
AK,AB,186,1,1,6,1.5,169.0
AT,BS,180,0,8,14,1.17,180.0
AK,AB,186,0,7,12,1.42,186.0
AT,AB,186,1,2,17,1.0,140.0
AT,AI,186,1,3,11,2.83,185.0
AT,BS,186,0,3,9,1.17,159.0
AT,AI,186,0,8,10,3.0,186.0
BM,AV,186,0,3,0,4.0,151.0
BA,AB,186,1,3,8,1.17,186.0
BM,AV,186,0,6,0,4.0,179.0
AK,BO,186,1,12,17,1.83,186.0
AT,AI,186,1,11,10,2.92,178.0
BH,BO,186,0,7,14,2.42,143.0
AO,AR,186,0,11,12,0.67,143.0
AT,AI,186,1,2,11,2.83,186.0
AT,AZ,186,1,9,8,2.75,186.0
AO,AR,186,0,6,14,0.67,168.0
AK,AB,186,0,2,7,1.5,170.0
BA,AB,186,0,2,8,1.17,186.0
AW,AX,186,1,12,11,0.75,170.0
AT,BS,186,0,10,14,1.08,156.0
BM,AV,186,1,3,0,5.0,139.0
AW,AV,186,1,10,11,1.42,163.0
AW,AS,186,1,5,15,0.75,149.0
AW,AV,186,1,4,20,1.42,136.0
BM,AV,186,1,4,0,4.0,155.0
AT,BS,180,0,5,9,1.08,178.0
AO,AR,186,0,11,12,0.67,165.0
AT,AB,186,1,4,17,1.0,186.0
AK,BO,186,0,4,6,2.0,160.0
AT,AI,186,0,5,10,3.0,184.0
AW,AV,186,0,4,20,1.42,183.0
AT,AI,180,0,7,10,3.0,180.0
AO,AR,180,0,7,14,0.67,177.0
AO,AR,186,0,4,10,0.67,167.0
